year,screen,japanese,western,audience
2000,2524,282,362,135390
2001,2585,281,349,163280
2002,2635,293,347,160767
2003,2681,287,335,162347
2004,2825,310,339,170092
2005,2926,356,375,160453
2006,3062,417,404,164585
2007,3221,407,403,163193
2008,3359,418,388,160491
2009,3396,448,314,169297
2010,3412,408,308,174358
2011,3339,441,358,144726
2012,3290,554,429,155159
2013,3318,591,526,155888
2014,3364,615,569,161116
2015,3437,581,555,166630
2016,3472,610,539,180189
2017,3525,594,593,174483
2018,3561,613,579,169210
2019,3583,689,589,194910
2020,3616,506,511,106137
2021,3648,490,469,114818
